year,event_name,event_url,song_prefix,song_name,song_url,feat_name,feat_url,note1,note1_url,note2,note2_url
2023,"太鼓の達人 楽曲募集だドン！2022","https://columbia-makes.jp/taikonotatsujin2022/result/index.html","","「アンチェイン・ガール！」","https://www.youtube.com/watch?v=A_XR71IfegE","","","","","",""
2022,"第四回チュウニズム楽曲コンテスト(落選だけど気に入っているので載せちゃいます)","https://chunithm-special.sega.jp/4th/rules/","","「オレンジ・ユース！」","https://www.nicovideo.jp/watch/sm41334267","杠葉えりかさん","https://profcard.info/u/AOKIgT3uknWlANsjCZV9gHgb5kh1","","","",""
2022,"1stアルバム 『イクスピア・ジャーニー』リリース","https://expier-journey.mini-hiori.info/","","","","","","","","",""
2022,"SOUND VOLTEX FLOOR The 10th KAC オリジナル楽曲コンテスト","https://p.eagate.573.jp/game/sdvx/sv/p/floor/original/28/index.html","","「メテオライツ・プレリュード」","","","","","","",""
2021,"Dynamix Open Submission 2021","https://twitter.com/c4c4cat/status/1377499732918988804?s=20","","「ムーンリット・ワンダラー」","","","","","","",""
2021,"SOUND VOLTEX FLOOR SOUND VOLTEX EXCEED GEAR制作決定記念 キャラクターテーマ楽曲コンテスト","https://p.eagate.573.jp/game/sdvx/sv/p/floor/original/27/index.html","","「フェアリーテイル・ラヴァーズ」","","","","","","",""
2021,"On Prism Records 『Prhythmatic Drum'n'bass 2』","http://onprism-rec.com/PrhythmaticDrumnbass2/","","「デイドリーム・レミニセンス feat. 初音ミク」","","","","","","",""
2020,"Reverse Real VTuberオリ曲コンピ第2弾 『ALLELOSPHERE』","https://allelosphere.reverse-real.com/","","「芽吹きとともに旅立つあなたへ」","https://www.youtube.com/watch?v=6m8KPffAzWs","歌月逢乃さん","","","","",""
2020,"音街ウナ 4th Anniversary オリジナル楽曲コンテスト および 音楽ゲーム『Leaping Destiny』","https://dwarfplanet.opal.ne.jp/?page_id=335","","「永久に輝くアイオライト feat. 音街ウナ」","","","","","","",""
2020,"SOUND VOLTEX FLOOR コナステ版 SOUND VOLTEX 先行配信！オリジナル楽曲コンテスト","https://p.eagate.573.jp/game/sdvx/sv/p/floor/original/25/index.html","","「トーキョーサマーナイト」","","","","","","",""
2020,"コトノプリズム 『KOTONOPOP TIME 01』","http://kotonoprism.com/ktpr0003/","","「ブランニュー・ダンスナイト！ feat. 琴葉茜・葵」","","","","","","",""
2020,"赤い羽根共同募金×ピアプロコラボ企画2020","https://piapro.jp/pages/official_collabo/akaihane20_p8w9j/result","最優秀賞","「ユニバース・ダイバー feat. 初音ミク」","https://piapro.jp/t/2i2f","","","","","",""
2020,"MIKU EXPO Stay Home Mini Song Contest","http://blog.piapro.net/2020/03/f2003311-1.html","準優勝","「シティナイツ・セレナーデ feat. 初音ミク」","https://soundcloud.com/mini_hiori/citynights_selenade","","","","","",""
2020,"初音ミク‐TAP WONDER‐","https://piapro.jp/pages/official_collabo/tapwonder/result","BGM","「ボクらのショートストーリー feat. 初音ミク」","https://piapro.jp/t/jjr5","","","コラボ企画によりゲーム「ユニゾンリーグ」のBGMとしても採用されました","https://www.4gamer.net/games/494/G049464/20200629074/","",""
2020,"Reverse Real VTuberオリ曲コンピ 『Reverse Real』","https://vtube-rr.com/","","「ガラスの靴」","https://www.youtube.com/watch?v=2zdEvSOcE2Q&t=81s","茂山すいさん","","","","",""
2019,"On Prism Records 『Prhythmatic4』","http://onprism-rec.com/Prhythmatic4/","","「ストーリア feat. 初音ミク」","","","","","","",""
2019,"Wakuwaku Miwaku 『Wakuwaku Remixes Vol.1』","http://wkwkmwk.com/wakuwaku-remixes-vol1/release/","","「Longing for you (Reincarnation mix)」","https://soundcloud.com/mini_hiori/longing-for-you-reincarnation-mix","","","","","",""
2018,"0thアルバム『Innocent Star』リリース","https://amairo-diary0001.tumblr.com/","","","","","","XFDはこちら","https://www.nicovideo.jp/watch/sm34159685","",""
